"patients_intensive_care","patients_hospitalized","total_patients_hospitalized","home_confinement","positive","positive_variation","new_positive","recovered","death","total_cases","tests_performed","total_people_tested","color","diff_recovered","diff_death","diff_tests_performed","diff_total_people_tested","diff_home_confinement"
14,206,220,4434,4654,1,103,26276,4484,35414,1184856,670418,3,102,0,8418,3281,0
11,201,212,4465,4677,23,163,26416,4484,35577,1197910,676766,3,140,0,13054,6348,31
11,200,211,4579,4790,113,167,26468,4485,35743,1207777,680394,3,52,1,9867,3628,114
11,212,223,4731,4954,164,179,26482,4486,35922,1214835,684859,3,14,1,7058,4465,152
11,213,224,4822,5046,92,167,26556,4487,36089,1219843,686918,3,74,1,5008,2059,91
13,212,225,4929,5154,108,172,26617,4490,36261,1231229,691551,3,61,3,11386,4633,107
14,223,237,5058,5295,141,193,26668,4491,36454,1246110,698835,3,51,1,14881,7284,129
13,232,245,5179,5424,129,184,26722,4492,36638,1257805,704510,3,54,1,11695,5675,121
14,226,240,5369,5609,185,276,26812,4493,36914,1268552,709568,3,90,1,10747,5058,190
16,241,257,5719,5976,367,383,26827,4494,37297,1282331,715054,3,15,1,13779,5486,350
23,254,277,6072,6349,373,384,26837,4495,37681,1290991,719690,3,10,1,8660,4636,353
25,284,309,6364,6673,324,337,26849,4496,38018,1297651,723741,3,12,1,6660,4051,292
31,323,354,6522,6876,203,341,26982,4498,38356,1310995,728221,3,133,2,13344,4480,158
35,383,418,6730,7148,272,339,27045,4502,38695,1326602,736069,3,63,4,15607,7848,208
49,392,441,7080,7521,373,453,27124,4503,39148,1339233,742503,3,79,1,12631,6434,350
61,404,465,7568,8033,512,544,27155,4504,39692,1352796,748337,3,31,1,13563,5834,488
65,427,492,8157,8649,616,641,27175,4509,40333,1366109,754101,3,20,5,13313,5764,589
67,439,506,8657,9163,514,526,27181,4515,40859,1375298,760075,3,6,6,9189,5974,500
70,481,551,9119,9670,507,552,27222,4518,41410,1383324,763923,3,41,3,8026,3848,462
78,531,609,9559,10168,498,507,27226,4523,41917,1399873,769327,3,4,5,16549,5404,440
86,596,682,10118,10800,632,671,27257,4531,42588,1417038,777142,3,31,8,17165,7815,559
86,636,722,10941,11663,863,889,27277,4537,43477,1433217,783681,3,20,6,16179,6539,823
86,657,743,11771,12514,851,888,27304,4547,44365,1449195,790989,3,27,10,15978,7308,830
89,723,812,12830,13642,1128,1180,27343,4557,45542,1466807,799074,3,39,10,17612,8085,1059
88,757,845,13983,14828,1186,1192,27345,4561,46734,1476451,804679,3,2,4,9644,5605,1153
93,816,909,14860,15769,941,1146,27544,4564,47877,1488534,811249,3,199,3,12083,6570,877
103,934,1037,16043,17080,1311,1413,27626,4579,49285,1509935,818615,3,82,15,21401,7366,1183
119,999,1118,17112,18230,1150,1212,27671,4593,50494,1531311,827354,3,45,14,21376,8739,1069
123,1054,1177,18536,19713,1483,1545,27724,4601,52038,1553171,835830,3,53,8,21860,8476,1424
119,1157,1276,20145,21421,1708,1763,27764,4612,53797,1570748,842483,3,40,11,17577,6653,1609
125,1223,1348,21865,23213,1792,2046,27997,4631,55841,1589691,849335,3,233,19,18943,6852,1720
132,1267,1399,23518,24917,1704,1758,28033,4647,57597,1601730,858385,3,36,16,12039,9050,1653
138,1382,1520,24972,26492,1575,1652,28093,4664,59249,1612029,865327,3,60,17,10299,6942,1454
153,1464,1617,26731,28348,1856,1912,28123,4687,61158,1635729,874120,3,30,23,23700,8793,1759
161,1554,1715,28259,29974,1626,1758,28241,4699,62914,1654130,882474,3,118,12,18401,8354,1528
177,1588,1765,30211,31976,2002,2180,28403,4712,65091,1674462,890032,3,162,13,20332,7558,1952
177,1673,1850,31880,33730,1754,1953,28559,4752,67041,1695309,897938,4,156,40,20847,7906,1669
188,1723,1911,33738,35649,1919,2009,28619,4781,69049,1715527,906435,4,60,29,20218,8497,1858
194,1836,2030,35822,37852,2203,2360,28740,4816,71408,1728477,914731,4,121,35,12950,8296,2084
204,1939,2143,37487,39630,1778,2025,28978,4824,73432,1740948,922303,4,238,8,12471,7572,1665
215,2020,2235,39545,41780,2150,2430,29230,4845,75855,1763487,931259,4,252,21,22539,8956,2058
222,2072,2294,41597,43891,2111,2428,29516,4876,78283,1784161,939211,4,286,31,20674,7952,2052
228,2094,2322,43702,46024,2133,2402,29735,4925,80684,1804471,947920,4,219,49,20310,8709,2105
225,2164,2389,45767,48156,2132,2384,29947,4965,83068,1824983,956466,4,212,40,20512,8546,2065
231,2243,2474,48088,50562,2406,2637,30129,5008,85699,1846431,965000,4,182,43,21448,8534,2321
246,2285,2531,50670,53201,2639,2822,30275,5044,88520,1858993,972719,1,146,36,12562,7719,2582
247,2393,2640,52789,55429,2228,2547,30570,5067,91066,1873435,980006,1,295,23,14442,7287,2119
247,2451,2698,54570,57268,1839,2219,30902,5115,93285,1895816,988202,1,332,48,22381,8196,1781
244,2449,2693,56626,59319,2051,2371,31167,5168,95654,1916548,995472,1,265,53,20732,7270,2056
244,2489,2733,58276,61009,1690,2160,31587,5218,97814,1935478,1003409,1,420,50,18930,7937,1650
244,2534,2778,60156,62934,1925,2533,32145,5265,100344,1957785,1011858,1,558,47,22307,8449,1880
241,2594,2835,62245,65080,2146,2723,32672,5312,103064,1977482,1019829,1,527,47,19697,7971,2089
249,2666,2915,64359,67274,2194,2665,33105,5350,105729,1990596,1027297,1,433,38,13114,7468,2114
248,2738,2986,66394,69380,2106,2347,33309,5384,108073,2002154,1033714,1,204,34,11558,6417,2035
243,2723,2966,68378,71344,1964,2501,33788,5439,110571,2021756,1041385,1,479,55,19602,7671,1984
249,2763,3012,69514,72526,1182,2130,34681,5493,112700,2040254,1048727,1,893,54,18498,7342,1136
258,2679,2937,68535,71472,-1054,2157,37835,5548,114855,2057518,1055046,1,3154,55,17264,6319,-979
250,2673,2923,67366,70289,-1183,2165,41116,5614,117019,2078822,1061899,1,3281,66,21304,6853,-1169
245,2673,2918,66865,69783,-506,2172,43717,5684,119184,2096063,1068411,1,2601,70,17241,6512,-501
245,2668,2913,67316,70229,446,1850,45089,5714,121032,2109497,1074568,1,1372,30,13434,6157,451
249,2755,3004,68730,71734,1505,2041,45586,5753,123073,2120489,1079854,1,497,39,10992,5286,1414
247,2729,2976,68866,71842,108,1471,46894,5805,124541,2137305,1085200,1,1308,52,16816,5346,136
247,2692,2939,68366,71305,-537,1569,48931,5874,126110,2156981,1091519,1,2037,69,19676,6319,-500
245,2668,2913,67324,70237,-1068,1766,51674,5959,127870,2174960,1097761,1,2743,85,17979,6242,-1042
248,2717,2965,67091,70056,-181,2143,53931,6022,130009,2192637,1103704,1,2257,63,17677,5943,-233
243,2707,2950,66679,69629,-427,1964,56270,6074,131973,2211300,1109844,1,2339,52,18663,6140,-412
241,2736,2977,65190,68167,-1462,1788,59432,6162,133761,2222471,1115823,4,3162,88,11171,5979,-1489
239,2805,3044,66437,69481,1314,1891,59951,6219,135651,2232336,1119423,4,519,57,9865,3600,1247
234,2781,3015,63507,66522,-2959,1624,64480,6268,137270,2248912,1124534,4,4529,49,16576,5111,-2930
233,2857,3090,62753,65843,-679,1079,66191,6314,138348,2259395,1128691,4,1711,46,10483,4157,-754
229,2845,3074,61643,64717,-1126,1453,68697,6386,139800,2276951,1133307,4,2506,72,17556,4616,-1110
231,2812,3043,61012,64055,-662,1211,70508,6447,141010,2294410,1138536,4,1811,61,17459,5229,-631
222,2813,3035,60937,63972,-83,1807,72315,6529,142816,2312385,1144793,4,1807,82,17975,6257,-75
220,2819,3039,61723,64762,790,1940,73421,6572,144755,2323522,1150185,4,1106,43,11137,5392,786
222,2831,3053,61933,64986,224,1574,74694,6645,146325,2334039,1153725,4,1273,73,10517,3540,210
214,2797,3011,61623,64634,-352,1238,76205,6719,147558,2349809,1157563,4,1511,74,15770,3838,-310
212,2773,2985,59861,62846,-1788,1238,79151,6797,148794,2367376,1162546,4,2946,78,17567,4983,-1762
206,2801,3007,59570,62577,-269,1667,81008,6875,150460,2381673,1167304,4,1857,78,14297,4758,-291
207,2764,2971,59355,62326,-251,1745,82928,6950,152204,2398435,1171966,4,1920,75,16762,4662,-215
